;fecha;año;Mes;Día;Hora;perfil_20
17707;2024-01-08;2024;1;8;20;0.00019128729208313334
17708;2024-01-08;2024;1;8;21;0.00020725427173665033
17709;2024-01-08;2024;1;8;22;0.00020862216223566492
17710;2024-01-08;2024;1;8;23;0.00018612335590586016
17711;2024-01-08;2024;1;8;24;0.00015214891769753448
17712;2024-01-09;2024;1;9;1;0.0001242824438360131
17713;2024-01-09;2024;1;9;2;0.00010214102091513975
17714;2024-01-09;2024;1;9;3;9.016075932717621e-05
17715;2024-01-09;2024;1;9;4;8.419008442293649e-05
17716;2024-01-09;2024;1;9;5;8.232217462325791e-05
17717;2024-01-09;2024;1;9;6;8.514631238323183e-05
17718;2024-01-09;2024;1;9;7;9.775047906621417e-05
17719;2024-01-09;2024;1;9;8;0.0001249969246430493
17720;2024-01-09;2024;1;9;9;0.0001381414981514222
17721;2024-01-09;2024;1;9;10;0.0001441755046472694
17722;2024-01-09;2024;1;9;11;0.00015121040658730195
17723;2024-01-09;2024;1;9;12;0.0001504791145072179
17724;2024-01-09;2024;1;9;13;0.0001507739033112436
17725;2024-01-09;2024;1;9;14;0.0001589186622311663
17726;2024-01-09;2024;1;9;15;0.0001622143532452855
17727;2024-01-09;2024;1;9;16;0.00015454505914279672
17728;2024-01-09;2024;1;9;17;0.00014841130584370316
17729;2024-01-09;2024;1;9;18;0.00015115119779945027
17730;2024-01-09;2024;1;9;19;0.00017006832877016338
17731;2024-01-09;2024;1;9;20;0.00019073745910236673
17732;2024-01-09;2024;1;9;21;0.00020607207818364466
17733;2024-01-09;2024;1;9;22;0.0002078771994805889
17734;2024-01-09;2024;1;9;23;0.00018777760787163522
17735;2024-01-09;2024;1;9;24;0.00015482235968706826
17736;2024-01-10;2024;1;10;1;0.0001242824438360131
17737;2024-01-10;2024;1;10;2;0.00010214102091513975
17738;2024-01-10;2024;1;10;3;9.016075932717621e-05
17739;2024-01-10;2024;1;10;4;8.419008442293649e-05
17740;2024-01-10;2024;1;10;5;8.232217462325791e-05
17741;2024-01-10;2024;1;10;6;8.514631238323183e-05
17742;2024-01-10;2024;1;10;7;9.775047906621417e-05
17743;2024-01-10;2024;1;10;8;0.0001249969246430493
17744;2024-01-10;2024;1;10;9;0.0001381414981514222
17745;2024-01-10;2024;1;10;10;0.0001441755046472694
17746;2024-01-10;2024;1;10;11;0.00015121040658730195
17747;2024-01-10;2024;1;10;12;0.0001504791145072179
17748;2024-01-10;2024;1;10;13;0.0001507739033112436
17749;2024-01-10;2024;1;10;14;0.0001589186622311663
17750;2024-01-10;2024;1;10;15;0.0001622143532452855
17751;2024-01-10;2024;1;10;16;0.00015454505914279672
17752;2024-01-10;2024;1;10;17;0.00014841130584370316
17753;2024-01-10;2024;1;10;18;0.00015115119779945027
